Date,Team,name_clean,Status,InjuryCategory
1995-02-16,Nets,Eric Floyd,Relinquished,Knee
1995-02-17,76ers,Clarence Weatherspoon,Relinquished,Ankle/Foot
1995-02-17,Blazers,James Edwards,Relinquished,Muscular
1995-02-18,Pacers,Lasalle Thompson,Relinquished,Arm/Hand
1995-02-18,Timberwolves,Stacey King,Relinquished,Ankle/Foot
1995-02-20,Clippers,Gary Grant,Relinquished,Back
1995-02-21,Bullets,Kenny Walker,Relinquished,Knee
1995-02-21,Clippers,Elmore Spencer,Relinquished,Ankle/Foot
1995-02-21,Mavericks,Doug Smith,Relinquished,Knee
1995-02-21,Warriors,Rony Seikaly,Relinquished,Knee
1995-02-22,Lakers,Eddie Jones,Relinquished,Arm/Hand
1995-02-22,Nuggets,Reggie Slater,Relinquished,Knee
1995-02-22,Rockets,Tim Breaux,Relinquished,Back
1995-02-23,Rockets,Zan Tabak,Relinquished,Back
1995-02-24,Hawks,Craig Ehlo,Relinquished,Knee
1995-02-24,Sonics,Dontonio Wingfield,Relinquished,Muscular
1995-02-26,Knicks,Anthony Bonner,Relinquished,Ankle/Foot
1995-02-26,Timberwolves,Charles Shackleford,Relinquished,Back
1995-02-27,Celtics,David Wesley,Relinquished,Knee
1995-02-28,Bullets,Rex Chapman,Relinquished,Arm/Hand
1995-02-28,Lakers,George Lynch,Relinquished,Ankle/Foot
1995-03-01,Pistons,Bill Curley,Relinquished,Ankle/Foot
1995-03-02,Rockets,Carl Herrera,Relinquished,Muscular
1995-03-02,Rockets,Robert Horry,Relinquished,Back
1995-03-03,Nuggets,Robert Pack,Relinquished,Knee
1995-03-03,Timberwolves,Pat Durham,Relinquished,Ankle/Foot
1995-03-04,Hawks,Jim Les,Relinquished,Ankle/Foot
1995-03-04,Mavericks,Jim Jackson,Relinquished,Ankle/Foot
1995-03-06,Heat,Khalid Reeves,Relinquished,Ankle/Foot
1995-03-07,Knicks,Charles Smith,Relinquished,Knee
1995-03-07,Warriors,Carlos Rogers,Relinquished,Ankle/Foot
1995-03-10,Bullets,Larry Stewart,Relinquished,Ankle/Foot
1995-03-13,Timberwolves,Andres Guibert,Relinquished,Back
1995-03-14,Suns,Wayman Tisdale,Relinquished,Muscular
1995-03-16,Hornets,Michael Adams,Relinquished,Muscular
1995-03-17,Bullets,Scott Skiles,Relinquished,Arm/Hand
1995-03-18,Bulls,Dickey Simpkins,Relinquished,Ankle/Foot
1995-03-19,Bullets,Kevin Duckworth,Relinquished,Ankle/Foot
1995-03-19,Warriors,Tim Hardaway Sr.,Relinquished,Arm/Hand
1995-03-20,Clippers,Malik Sealy,Relinquished,Back
1995-03-20,Spurs,Dennis Rodman,Relinquished,Arm/Hand
1995-03-21,Bulls,Jud Buechler,Relinquished,Knee
1995-03-22,Lakers,Randolph Keys,Relinquished,Muscular
1995-03-23,Rockets,Zan Tabak,Relinquished,Illness
1995-03-23,Sonics,Vincent Askew,Relinquished,Ankle/Foot
1995-03-24,76ers,Willie Burton,Relinquished,Ankle/Foot
1995-03-24,Heat,Ledell Eackles,Relinquished,Arm/Hand
1995-03-24,Sonics,Bill Cartwright,Relinquished,Arm/Hand
1995-03-24,Suns,Antonio Lang,Relinquished,Knee
1995-03-25,76ers,B.J. Tyler,Relinquished,Arm/Hand
1995-03-26,Knicks,Charlie Ward,Relinquished,Arm/Hand
1995-03-28,Celtics,Rick Fox,Relinquished,Ankle/Foot
1995-04-01,Bulls,Larry Krystkowiak,Relinquished,Knee
1995-04-01,Rockets,Tim Breaux,Relinquished,Back
1995-04-02,Heat,Vernell Coles,Relinquished,Muscular
1995-04-04,Hornets,Scott Burrell,Relinquished,Ankle/Foot
1995-04-04,Nets,Chris Morris,Relinquished,Muscular
1995-04-05,Hawks,Ken Norman,Relinquished,Back
1995-04-07,Blazers,Steve Henson,Relinquished,Ankle/Foot
